Day,District,Total Population,Lower End of 95% CI of Predicted Cases,Upper End of 95% CI of Predicted Cases
9,Umerkot,1072430,33.0,180.67499999999995
10,Badin,1804208,25.475,146.8749999999999
10,Thatta,1758688,202.75,1198.0749999999998
10,Tando Muhammad Khan,676901,36.0,218.62499999999994
10,Hyderabad,2195641,267.225,1569.125
10,Tando Allahyar,835838,95.7,553.3749999999997
10,Mirpur Khas,1504862,23.475,175.14999999999995
10,Tharparker,1649506,1.475,52.04999999999998
10,Dadu,1549188,45.85,196.39999999999986
10,Qambar Shahdadkot,1338677,47.325,346.6999999999994
10,Larkana,1522467,193.7,560.15
10,Naushahro Firoz,1609155,429.95000000000005,1072.7749999999996
10,Jamshoro,986871,576.925,1648.9999999999982
10,Ghotki,1638241,962.55,2013.7499999999993
10,Kashmore,1079057,1190.55,2177.1499999999996
10,Sukkur,1440979,6940.674999999999,9722.324999999999
10,Matiari,767251,93.94999999999999,445.7499999999998
10,Sanghar,2055016,270.475,532.3499999999999
10,Jacobabad,1003443,247.95,635.9249999999998
10,Shikarpur,1215502,1287.425,2895.8499999999985
10,Nawabshah,2007281,489.45000000000005,1022.0999999999999
10,Karachi,17034124,2972.975,29811.774999999998
10,Khairpur,2393288,1351.475,2477.575
10,Umerkot,1072430,50.9,290.05
11,Badin,1804208,52.425,256.4499999999998
11,Thatta,1758688,355.55,3070.2999999999984
11,Tando Muhammad Khan,676901,73.325,379.7249999999999
11,Hyderabad,2195641,398.475,2873.6999999999985
11,Tando Allahyar,835838,160.89999999999998,843.6249999999993
11,Mirpur Khas,1504862,47.95,271.8249999999999
11,Tharparker,1649506,4.475,79.67499999999994
11,Dadu,1549188,90.475,322.8249999999999
11,Qambar Shahdadkot,1338677,84.17500000000001,528.3499999999992
11,Larkana,1522467,348.3,967.849999999999
11,Naushahro Firoz,1609155,695.9000000000001,1673.1999999999998
11,Jamshoro,986871,930.675,3262.949999999998
11,Ghotki,1638241,1558.8000000000002,3136.075
11,Kashmore,1079057,1956.625,3472.874999999999
11,Sukkur,1440979,10213.375,14365.599999999999
11,Matiari,767251,175.47500000000002,754.575
11,Sanghar,2055016,420.20000000000005,854.3499999999999
11,Jacobabad,1003443,453.75,1033.7749999999999
11,Shikarpur,1215502,2258.3999999999996,4742.574999999998
11,Nawabshah,2007281,816.375,1641.6499999999996
11,Karachi,17034124,5404.425,65060.17499999993
11,Khairpur,2393288,2173.2749999999996,3787.1249999999995
11,Umerkot,1072430,80.32499999999999,423.625
12,Badin,1804208,106.475,441.59999999999945
12,Thatta,1758688,597.2,5614.9
12,Tando Muhammad Khan,676901,140.9,586.2249999999995
12,Hyderabad,2195641,658.0,4860.349999999997
12,Tando Allahyar,835838,300.42499999999995,1300.8999999999992
12,Mirpur Khas,1504862,87.0,417.97499999999985
12,Tharparker,1649506,12.475,128.575
12,Dadu,1549188,188.65,539.8749999999999
12,Qambar Shahdadkot,1338677,147.6,848.3249999999987
12,Larkana,1522467,654.4,1529.2249999999983
12,Naushahro Firoz,1609155,1121.375,2607.699999999999
12,Jamshoro,986871,1503.775,6177.6749999999965
12,Ghotki,1638241,2592.1,5022.4749999999985
12,Kashmore,1079057,3135.7,5680.174999999999
12,Sukkur,1440979,14924.9,21322.15
12,Matiari,767251,326.275,1209.4249999999997
12,Sanghar,2055016,687.8,1305.3749999999995
12,Jacobabad,1003443,739.7,1669.5
12,Shikarpur,1215502,3896.375,7543.199999999997
12,Nawabshah,2007281,1282.65,2648.449999999999
12,Karachi,17034124,11683.3,125092.47499999996
12,Khairpur,2393288,3436.75,6008.374999999999
12,Umerkot,1072430,136.89999999999998,665.1999999999999
13,Badin,1804208,228.8,817.0999999999985
13,Thatta,1758688,1238.375,11000.5
13,Tando Muhammad Khan,676901,257.6,1041.2499999999986
13,Hyderabad,2195641,1270.6,8862.449999999984
13,Tando Allahyar,835838,523.9,2072.325
13,Mirpur Khas,1504862,152.85,659.575
13,Tharparker,1649506,26.475,215.44999999999985
13,Dadu,1549188,317.275,919.9749999999998
13,Qambar Shahdadkot,1338677,243.4,1309.7499999999986
13,Larkana,1522467,1095.325,2647.975
13,Naushahro Firoz,1609155,1856.525,4128.924999999999
